hora,cuentas,desviacionstncuentas,presion,temperatura
2025-09-04 11:20:00,123.0,8.756,682.2,11.3
2025-09-04 11:25:00,121.833,9.812,681.9,11.5
2025-09-04 11:30:00,122.6,11.162,682.2,11.6
2025-09-04 11:35:00,127.2,12.093,682.1,11.8
2025-09-04 11:40:00,124.267,13.065,681.9,12.2
2025-09-04 11:45:00,123.2,9.426,682.2,11.6
2025-09-04 11:50:00,126.367,11.269,681.8,11.9
2025-09-04 11:55:00,128.733,14.548,681.8,12.4
2025-09-04 12:00:00,139.2,12.038,681.7,12.3
2025-09-04 12:05:00,138.533,13.109,681.5,12.8
2025-09-04 12:10:00,135.655,11.872,681.4,12.9
2025-09-04 12:15:00,136.333,12.823,681.4,13.3
2025-09-04 12:20:00,135.067,14.51,681.1,13.3
2025-09-04 12:25:00,137.433,12.47,681.0,13.5
2025-09-04 12:30:00,137.833,12.959,681.1,13.8
2025-09-04 12:35:00,134.9,9.911,680.8,14.2
2025-09-04 12:40:00,134.233,10.328,680.8,14.6
2025-09-04 12:45:00,134.467,11.655,680.5,15.0
2025-09-04 12:50:00,135.133,11.918,680.5,15.5
2025-09-04 12:55:00,133.133,11.076,680.7,15.1
2025-09-04 13:00:00,137.967,11.439,680.3,14.3
2025-09-04 13:05:00,134.933,12.841,680.5,14.2
2025-09-04 13:10:00,136.667,12.391,680.4,13.6
2025-09-04 13:15:00,136.1,10.283,680.2,13.4
2025-09-04 13:20:00,133.233,9.726,680.2,13.9
2025-09-04 13:25:00,136.533,11.596,680.1,14.0
2025-09-04 13:30:00,136.133,9.797,679.9,14.1
2025-09-04 13:35:00,135.733,14.326,679.8,14.9
2025-09-04 13:40:00,122.967,12.336,679.8,14.5
2025-09-04 13:45:00,132.1,12.344,679.6,15.7
2025-09-04 13:50:00,133.867,13.167,679.4,15.6
2025-09-04 13:55:00,129.067,13.006,679.7,15.1
2025-09-04 14:00:00,123.567,12.136,679.4,16.4
2025-09-04 14:05:00,129.933,12.345,679.4,16.1
2025-09-04 14:10:00,132.6,11.578,679.3,15.7
2025-09-04 14:15:00,125.633,11.069,679.1,16.0
2025-09-04 14:20:00,124.5,11.904,679.0,15.4
2025-09-04 14:25:00,123.7,10.263,679.0,15.5
2025-09-04 14:30:00,121.667,13.215,678.9,14.8
2025-09-04 14:35:00,124.467,10.89,679.1,15.1
2025-09-04 14:40:00,121.667,9.925,679.2,12.8
2025-09-04 14:45:00,123.1,12.48,679.1,12.2
2025-09-04 14:50:00,127.2,12.201,679.2,13.2
2025-09-04 14:55:00,124.633,10.496,678.9,13.6
2025-09-04 15:00:00,127.967,14.961,679.0,15.0
2025-09-04 15:05:00,125.233,9.594,678.6,15.0
2025-09-04 15:10:00,121.867,11.617,678.5,14.8
2025-09-04 15:15:00,122.967,13.153,678.5,15.4
2025-09-04 15:20:00,122.633,12.386,678.4,15.7
2025-09-04 15:25:00,126.867,12.467,678.3,15.6
2025-09-04 15:30:00,123.5,10.637,678.2,16.0
2025-09-04 15:35:00,121.833,11.161,678.2,15.1
2025-09-04 15:40:00,125.733,12.969,678.2,16.2
2025-09-04 15:45:00,125.467,13.024,678.1,15.5
2025-09-04 15:50:00,126.267,11.632,677.9,15.2
2025-09-04 15:55:00,131.467,12.392,678.1,15.2
2025-09-04 16:00:00,134.767,11.569,678.2,15.5
2025-09-04 16:05:00,133.433,13.369,678.1,15.1
2025-09-04 16:10:00,137.8,11.333,678.1,14.9
2025-09-04 16:15:00,134.5,10.754,678.0,15.1
2025-09-04 16:20:00,136.9,9.932,678.1,15.2
2025-09-04 16:25:00,142.567,10.575,678.0,15.9
2025-09-04 16:30:00,138.233,12.824,678.0,15.7
2025-09-04 16:35:00,143.367,12.737,677.8,16.5
2025-09-04 16:40:00,137.6,10.102,677.7,16.8
2025-09-04 16:45:00,139.3,12.143,677.9,18.1
2025-09-04 16:50:00,142.467,13.224,677.8,17.5
2025-09-04 16:55:00,141.933,12.652,677.8,16.4
2025-09-04 17:00:00,142.033,9.604,677.6,16.1
2025-09-04 17:05:00,152.633,15.205,677.7,16.2
2025-09-04 17:10:00,144.433,12.255,677.7,16.0
2025-09-04 17:15:00,152.567,11.64,677.8,16.3
2025-09-04 17:20:00,152.2,11.607,677.8,15.8
2025-09-04 17:25:00,152.733,12.709,677.7,15.6
2025-09-04 17:30:00,157.533,12.252,677.9,15.7
2025-09-04 17:35:00,143.833,9.574,678.0,15.5
2025-09-04 17:40:00,143.367,13.902,677.9,14.7
2025-09-04 17:45:00,146.067,10.757,677.9,14.4
2025-09-04 17:50:00,149.0,12.222,678.0,14.4
2025-09-04 17:55:00,143.967,12.494,678.1,14.2
2025-09-04 18:00:00,151.1,14.363,678.1,14.0
2025-09-04 18:05:00,149.034,10.158,678.0,13.8
2025-09-04 18:10:00,150.0,12.868,678.5,13.6
2025-09-04 18:15:00,147.267,12.205,678.5,13.5
2025-09-04 18:20:00,145.933,9.829,678.5,13.2
2025-09-04 18:25:00,146.033,11.538,678.4,13.0
2025-09-04 18:30:00,138.3,11.639,678.5,12.9
2025-09-04 18:35:00,140.067,11.774,678.3,12.7
2025-09-04 18:40:00,132.3,12.354,678.6,12.7
2025-09-04 18:45:00,135.9,14.535,678.6,12.5
2025-09-04 18:50:00,137.6,9.705,678.8,12.3
2025-09-04 18:55:00,140.4,13.232,678.6,12.2
2025-09-04 19:00:00,139.567,12.227,678.9,12.1
2025-09-04 19:05:00,141.233,11.895,679.0,12.0
2025-09-04 19:10:00,135.667,9.852,679.0,11.9
2025-09-04 19:15:00,142.833,10.195,679.1,12.0
2025-09-04 19:20:00,140.933,11.721,679.2,11.8
2025-09-04 19:25:00,139.767,10.17,679.4,11.6
2025-09-04 19:30:00,135.633,10.604,679.4,11.4
2025-09-04 19:35:00,143.367,10.371,679.7,11.4
2025-09-04 19:40:00,137.333,10.636,679.6,11.4
2025-09-04 19:45:00,145.3,11.995,680.0,11.2
2025-09-04 19:50:00,144.467,13.237,679.9,11.1
2025-09-04 19:55:00,145.167,11.519,680.1,11.2
2025-09-04 20:00:00,143.833,12.075,680.1,11.3
2025-09-04 20:05:00,142.767,12.563,680.4,11.6
2025-09-04 20:10:00,147.333,13.234,680.3,11.7
2025-09-04 20:15:00,144.6,12.336,680.6,11.7
2025-09-04 20:20:00,144.433,11.752,680.4,11.7
2025-09-04 20:25:00,140.467,14.51,680.5,11.6
2025-09-04 20:30:00,141.7,13.676,680.6,11.5
2025-09-04 20:35:00,143.367,13.763,680.6,11.4
2025-09-04 20:40:00,148.633,11.538,680.8,11.2
2025-09-04 20:45:00,142.667,10.008,680.8,11.1
2025-09-04 20:50:00,149.8,9.215,680.6,11.0
2025-09-04 20:55:00,147.9,10.236,680.8,10.9
2025-09-04 21:00:00,144.233,15.26,680.8,10.9
2025-09-04 21:05:00,149.867,11.805,680.9,10.8
2025-09-04 21:10:00,149.7,11.071,681.0,10.9
2025-09-04 21:15:00,142.733,12.168,681.0,10.9
2025-09-04 21:20:00,143.7,11.908,681.0,10.9
2025-09-04 21:25:00,146.167,15.127,681.0,10.8
2025-09-04 21:30:00,144.067,14.496,681.0,10.5
2025-09-04 21:35:00,144.333,9.883,681.0,10.3
2025-09-04 21:40:00,151.033,11.845,681.1,10.1
2025-09-04 21:45:00,148.433,11.349,681.1,9.9
2025-09-04 21:50:00,154.6,13.685,681.3,9.7
2025-09-04 21:55:00,156.767,14.205,681.3,9.5
2025-09-04 22:00:00,160.267,15.353,681.3,9.4
2025-09-04 22:05:00,146.233,10.064,681.3,9.3
2025-09-04 22:10:00,131.333,9.869,681.4,9.5
2025-09-04 22:15:00,136.367,9.887,681.4,9.3
2025-09-04 22:20:00,141.167,14.103,681.3,9.4
2025-09-04 22:25:00,137.733,10.853,681.6,9.3
2025-09-04 22:30:00,134.833,11.145,681.4,9.2
2025-09-04 22:35:00,132.767,11.063,681.5,9.5
2025-09-04 22:40:00,131.867,9.569,681.5,9.4
2025-09-04 22:45:00,133.467,11.048,681.4,9.3
2025-09-04 22:50:00,138.2,12.294,681.5,8.9
2025-09-04 22:55:00,139.6,12.593,681.5,8.8
2025-09-04 23:00:00,133.933,12.897,681.6,8.9
2025-09-04 23:05:00,133.9,13.018,681.6,8.9
2025-09-04 23:10:00,133.767,13.738,681.8,9.0
2025-09-04 23:15:00,135.567,13.977,681.4,8.9
2025-09-04 23:20:00,139.333,11.278,681.6,8.8
2025-09-04 23:25:00,131.867,11.56,681.8,8.7
2025-09-04 23:30:00,138.033,12.207,681.9,8.7
2025-09-04 23:35:00,140.1,11.83,681.8,8.7
2025-09-04 23:40:00,141.033,13.525,681.8,8.6
2025-09-04 23:45:00,135.9,10.613,681.7,8.6
2025-09-04 23:50:00,138.767,9.662,681.7,8.6
2025-09-04 23:55:00,141.1,13.153,681.8,8.7
2025-09-05 00:00:00,148.483,13.3,681.6,8.8
2025-09-05 00:05:00,144.8,12.699,681.5,8.8
2025-09-05 00:10:00,140.367,14.116,681.5,8.8
2025-09-05 00:15:00,135.867,13.771,681.6,8.9
2025-09-05 00:20:00,141.8,11.769,681.7,8.9
2025-09-05 00:25:00,141.0,11.03,681.8,8.9
2025-09-05 00:30:00,144.533,12.76,681.7,9.0
2025-09-05 00:35:00,145.2,10.943,681.7,9.0
2025-09-05 00:40:00,144.467,10.779,681.9,8.7
2025-09-05 00:45:00,144.3,13.684,681.7,8.3
2025-09-05 00:50:00,144.1,12.823,681.9,7.8
2025-09-05 00:55:00,149.567,13.942,681.7,7.8
2025-09-05 01:00:00,148.5,13.848,681.6,7.7
2025-09-05 01:05:00,148.6,11.631,681.6,7.4
2025-09-05 01:10:00,149.6,12.555,681.5,7.2
2025-09-05 01:15:00,149.633,11.863,681.7,7.1
2025-09-05 01:20:00,151.3,11.774,681.5,7.1
2025-09-05 01:25:00,154.967,12.469,681.4,7.0
2025-09-05 01:30:00,150.1,11.412,681.3,7.1
2025-09-05 01:35:00,149.967,11.772,681.3,7.2
2025-09-05 01:40:00,157.667,12.488,681.1,7.3
2025-09-05 01:45:00,152.8,11.278,680.9,7.4
2025-09-05 01:50:00,159.533,15.598,680.8,7.4
2025-09-05 01:55:00,161.4,12.288,680.9,7.6
2025-09-05 02:00:00,160.133,11.933,680.9,7.8
2025-09-05 02:05:00,155.6,13.19,680.7,8.1
2025-09-05 02:10:00,146.033,13.682,680.6,8.1
2025-09-05 02:15:00,143.6,12.547,680.6,7.9
2025-09-05 02:20:00,144.7,14.228,680.6,8.0
2025-09-05 02:25:00,142.4,14.337,680.5,8.0
2025-09-05 02:30:00,150.567,13.106,680.5,7.9
2025-09-05 02:35:00,146.567,14.289,680.5,7.9
2025-09-05 02:40:00,145.967,10.775,680.6,7.9
2025-09-05 02:45:00,147.467,13.663,680.4,7.7
2025-09-05 02:50:00,151.833,10.822,680.5,7.7
2025-09-05 02:55:00,151.967,12.925,680.5,7.7
2025-09-05 03:00:00,151.567,9.964,680.5,7.7
2025-09-05 03:05:00,153.1,12.718,680.6,7.6
2025-09-05 03:10:00,143.8,12.497,680.5,7.6
2025-09-05 03:15:00,151.467,12.261,680.4,7.6
2025-09-05 03:20:00,149.0,13.772,680.4,7.6
2025-09-05 03:25:00,148.4,12.447,680.3,7.5
2025-09-05 03:30:00,149.4,15.495,680.2,7.6
2025-09-05 03:35:00,145.833,15.737,680.2,7.5
2025-09-05 03:40:00,141.933,12.468,679.9,7.6
2025-09-05 03:45:00,145.7,12.254,679.9,7.5
2025-09-05 03:50:00,143.033,9.445,680.0,7.5
2025-09-05 03:55:00,145.9,11.514,680.2,7.5
2025-09-05 04:00:00,142.733,8.242,680.0,7.5
2025-09-05 04:05:00,141.967,13.333,679.9,7.5
2025-09-05 04:10:00,143.533,9.965,680.1,7.4
2025-09-05 04:15:00,142.8,12.729,680.0,7.3
2025-09-05 04:20:00,141.2,9.771,680.1,7.2
2025-09-05 04:25:00,143.833,12.809,680.3,7.2
2025-09-05 04:30:00,138.567,8.901,680.0,7.2
2025-09-05 04:35:00,139.867,10.388,679.9,7.2
2025-09-05 04:40:00,138.433,12.848,680.3,7.2
2025-09-05 04:45:00,137.533,11.779,680.0,7.2
2025-09-05 04:50:00,138.5,14.901,680.4,7.2
2025-09-05 04:55:00,130.0,11.453,680.3,7.3
2025-09-05 05:00:00,134.267,14.989,680.3,7.3
2025-09-05 05:05:00,136.367,13.353,680.3,7.4
2025-09-05 05:10:00,136.833,10.259,680.3,7.3
2025-09-05 05:15:00,133.067,11.747,680.2,7.2
2025-09-05 05:20:00,129.1,12.358,680.4,7.2
2025-09-05 05:25:00,138.0,10.936,680.5,7.3
2025-09-05 05:30:00,141.8,10.437,680.8,7.2
2025-09-05 05:35:00,137.267,10.075,680.8,7.2
2025-09-05 05:40:00,137.467,12.891,680.6,7.1
2025-09-05 05:45:00,134.567,11.374,680.7,7.2
2025-09-05 05:50:00,134.367,11.491,680.7,7.3
2025-09-05 05:55:00,131.6,10.836,680.9,7.3
2025-09-05 06:00:00,130.0,12.476,680.7,7.3
2025-09-05 06:05:00,134.033,9.936,681.0,7.4
2025-09-05 06:10:00,137.9,11.81,680.9,7.4
2025-09-05 06:15:00,135.467,14.149,681.0,7.4
2025-09-05 06:20:00,134.633,13.639,681.0,7.5
2025-09-05 06:25:00,143.233,9.001,681.0,7.6
2025-09-05 06:30:00,139.4,13.095,681.1,7.6
2025-09-05 06:35:00,137.633,15.466,681.2,7.5
2025-09-05 06:40:00,133.3,11.314,681.1,7.5
2025-09-05 06:45:00,135.467,10.434,681.3,7.5
2025-09-05 06:50:00,132.633,9.8,681.2,7.5
2025-09-05 06:55:00,129.333,12.203,681.4,7.4
2025-09-05 07:00:00,130.6,10.156,681.3,7.5
2025-09-05 07:05:00,140.867,16.915,681.4,7.4
2025-09-05 07:10:00,147.733,11.931,681.4,7.5
2025-09-05 07:15:00,144.867,10.291,681.4,7.4
2025-09-05 07:20:00,144.767,13.159,681.5,7.5
2025-09-05 07:25:00,139.067,13.125,681.6,7.4
2025-09-05 07:30:00,140.3,10.597,681.7,7.4
2025-09-05 07:35:00,135.5,11.884,681.5,7.5
2025-09-05 07:40:00,147.0,15.892,681.5,7.6
2025-09-05 07:45:00,150.033,19.031,681.6,7.7
2025-09-05 07:50:00,144.867,13.019,681.7,8.1
2025-09-05 07:55:00,149.733,11.438,681.8,8.6
2025-09-05 08:00:00,150.0,10.472,681.8,8.8
2025-09-05 08:05:00,142.267,12.44,681.9,10.0
2025-09-05 08:10:00,138.467,10.859,682.0,10.7
2025-09-05 08:15:00,135.467,9.547,682.1,11.5
2025-09-05 08:20:00,134.733,11.96,681.9,11.8
2025-09-05 08:25:00,133.167,13.352,681.8,12.3
2025-09-05 08:30:00,133.6,11.846,681.8,12.7
2025-09-05 08:35:00,136.367,10.033,682.0,11.0
2025-09-05 08:40:00,126.5,11.135,682.1,10.6
2025-09-05 08:45:00,130.167,10.356,681.9,11.9
2025-09-05 08:50:00,129.7,9.094,681.9,11.7
2025-09-05 08:55:00,124.933,12.473,682.0,11.7
2025-09-05 09:00:00,131.9,12.307,682.2,12.0
2025-09-05 09:05:00,129.067,10.619,681.9,11.7
2025-09-05 09:10:00,121.333,13.822,682.1,12.1
2025-09-05 09:15:00,122.167,11.17,682.1,13.1
2025-09-05 09:20:00,125.033,11.05,682.0,11.7
2025-09-05 09:25:00,123.133,12.971,682.0,11.3
2025-09-05 09:30:00,118.567,12.35,682.1,10.8
2025-09-05 09:35:00,134.6,13.019,682.1,10.7
2025-09-05 09:40:00,136.167,11.126,682.1,11.1
2025-09-05 09:45:00,139.367,10.733,682.1,12.0
2025-09-05 09:50:00,136.833,9.578,682.3,11.7
2025-09-05 09:55:00,133.533,11.038,682.3,11.5
2025-09-05 10:00:00,134.433,11.619,682.2,11.7
2025-09-05 10:05:00,133.467,12.779,682.3,11.7
2025-09-05 10:10:00,135.533,11.649,682.3,12.1
2025-09-05 10:15:00,134.5,11.316,682.1,12.1
2025-09-05 10:20:00,134.1,12.408,682.2,11.5
2025-09-05 10:25:00,131.6,8.958,682.3,11.5
2025-09-05 10:30:00,131.033,14.224,682.2,11.5
2025-09-05 10:35:00,124.9,8.965,682.2,11.2
2025-09-05 10:40:00,127.9,11.854,682.2,11.5
2025-09-05 10:45:00,124.3,11.662,682.0,12.0
2025-09-05 10:50:00,122.067,8.212,682.0,11.6
2025-09-05 10:55:00,120.433,9.209,681.9,12.0
2025-09-05 11:00:00,127.5,10.846,681.9,12.1
2025-09-05 11:05:00,138.6,11.539,681.8,12.3
2025-09-05 11:10:00,137.733,8.65,681.7,12.6
2025-09-05 11:15:00,135.067,10.336,681.8,12.5
2025-09-05 11:20:00,133.567,13.286,681.7,12.8
2025-09-05 11:25:00,134.3,11.946,681.6,12.3
2025-09-05 11:30:00,136.3,10.502,681.6,12.7
2025-09-05 11:35:00,137.2,10.24,681.6,12.5
2025-09-05 11:40:00,139.467,11.569,681.4,12.9
2025-09-05 11:45:00,138.3,11.653,681.6,13.1
2025-09-05 11:50:00,139.034,12.752,681.3,13.0
2025-09-05 11:55:00,142.733,8.8,681.3,12.8
2025-09-05 12:00:00,137.967,10.874,681.4,12.8
