Fecha,Hora,Relative Pressure (hPa),Outdoor Temperature (Â°C)
2025-09-04,00:00:00,681.5,9.1
2025-09-04,00:05:00,681.6,9.1
2025-09-04,00:10:00,681.6,9.1
2025-09-04,00:15:00,681.4,9.1
2025-09-04,00:20:00,681.2,9.1
2025-09-04,00:25:00,681.3,9.1
2025-09-04,00:30:00,681.2,9.1
2025-09-04,00:35:00,681.2,9.1
2025-09-04,00:40:00,680.9,9.0
2025-09-04,00:45:00,681.1,9.0
2025-09-04,00:50:00,681.0,9.0
2025-09-04,00:55:00,681.0,8.9
2025-09-04,01:00:00,681.0,8.9
2025-09-04,01:05:00,681.0,9.0
2025-09-04,01:10:00,680.8,9.0
2025-09-04,01:15:00,680.8,8.9
2025-09-04,01:20:00,680.8,8.9
2025-09-04,01:25:00,680.9,9.0
2025-09-04,01:30:00,680.9,9.1
2025-09-04,01:35:00,680.8,9.0
2025-09-04,01:40:00,681.0,9.0
2025-09-04,01:45:00,680.8,8.9
2025-09-04,01:50:00,680.8,8.9
2025-09-04,01:55:00,680.7,8.9
2025-09-04,02:00:00,680.9,9.0
2025-09-04,02:05:00,680.7,8.9
2025-09-04,02:10:00,680.7,8.8
2025-09-04,02:15:00,680.7,8.8
2025-09-04,02:20:00,680.8,8.7
2025-09-04,02:25:00,680.8,8.7
2025-09-04,02:30:00,680.8,8.7
2025-09-04,02:35:00,681.0,8.7
2025-09-04,02:40:00,680.8,8.8
2025-09-04,02:45:00,680.9,8.7
2025-09-04,02:50:00,681.0,8.7
2025-09-04,02:55:00,680.8,8.7
2025-09-04,03:00:00,680.7,8.7
2025-09-04,03:05:00,680.6,8.8
2025-09-04,03:10:00,680.7,8.8
2025-09-04,03:15:00,680.8,8.8
2025-09-04,03:20:00,680.8,8.9
2025-09-04,03:25:00,680.7,8.9
2025-09-04,03:30:00,680.6,9.0
2025-09-04,03:35:00,680.5,9.1
2025-09-04,03:40:00,680.6,9.1
2025-09-04,03:45:00,680.7,9.1
2025-09-04,03:50:00,680.8,9.0
2025-09-04,03:55:00,680.4,8.8
2025-09-04,04:00:00,680.5,8.8
2025-09-04,04:05:00,680.5,8.8
2025-09-04,04:10:00,680.6,8.8
2025-09-04,04:15:00,680.5,8.7
2025-09-04,04:20:00,680.6,8.7
2025-09-04,04:25:00,680.4,8.6
2025-09-04,04:30:00,680.5,8.6
2025-09-04,04:35:00,680.5,8.6
2025-09-04,04:40:00,680.5,8.5
2025-09-04,04:45:00,680.5,8.4
2025-09-04,04:50:00,680.5,8.3
2025-09-04,04:55:00,680.6,8.2
2025-09-04,05:00:00,680.5,8.2
2025-09-04,05:05:00,680.6,8.1
2025-09-04,05:10:00,680.5,8.1
2025-09-04,05:15:00,680.7,8.1
2025-09-04,05:20:00,680.7,8.1
2025-09-04,05:25:00,680.8,8.1
2025-09-04,05:30:00,680.7,7.9
2025-09-04,05:35:00,680.8,7.9
2025-09-04,05:40:00,680.9,7.8
2025-09-04,05:45:00,680.7,7.7
2025-09-04,05:50:00,681.0,7.7
2025-09-04,05:55:00,681.0,7.7
2025-09-04,06:00:00,681.2,7.6
2025-09-04,06:05:00,681.0,7.6
2025-09-04,06:10:00,681.2,7.7
2025-09-04,06:15:00,681.1,7.7
2025-09-04,06:20:00,681.2,7.7
2025-09-04,06:25:00,681.1,7.7
2025-09-04,06:30:00,681.3,7.7
2025-09-04,06:35:00,681.1,7.7
2025-09-04,06:40:00,681.2,7.7
2025-09-04,06:45:00,681.2,7.7
2025-09-04,06:50:00,681.5,7.7
2025-09-04,06:55:00,681.3,7.7
2025-09-04,07:00:00,681.6,7.7
2025-09-04,07:05:00,681.6,7.7
2025-09-04,07:10:00,681.5,7.7
2025-09-04,07:15:00,681.6,7.8
2025-09-04,07:20:00,681.6,7.8
2025-09-04,07:25:00,681.8,7.9
2025-09-04,07:30:00,681.7,8.1
2025-09-04,07:35:00,681.8,8.1
2025-09-04,07:40:00,682.0,8.2
2025-09-04,07:45:00,682.1,8.2
2025-09-04,07:50:00,682.1,8.7
2025-09-04,07:55:00,682.1,8.7
2025-09-04,08:00:00,682.2,8.9
2025-09-04,08:05:00,682.1,8.6
2025-09-04,08:10:00,682.1,8.5
2025-09-04,08:15:00,682.0,8.6
2025-09-04,08:20:00,682.2,8.6
2025-09-04,08:25:00,682.2,8.7
2025-09-04,08:30:00,682.4,8.9
2025-09-04,08:35:00,682.3,9.2
2025-09-04,08:40:00,682.3,9.2
2025-09-04,08:45:00,682.2,9.4
2025-09-04,08:50:00,682.4,9.6
2025-09-04,08:55:00,682.3,9.7
2025-09-04,09:00:00,682.3,9.9
2025-09-04,09:05:00,682.5,10.2
2025-09-04,09:10:00,682.4,10.5
2025-09-04,09:15:00,682.4,11.5
2025-09-04,09:20:00,682.5,11.4
2025-09-04,09:25:00,682.5,10.7
2025-09-04,09:30:00,682.6,11.4
2025-09-04,09:35:00,682.4,12.2
2025-09-04,09:40:00,682.3,12.3
2025-09-04,09:45:00,682.1,12.0
2025-09-04,09:50:00,682.5,11.5
2025-09-04,09:55:00,682.2,11.8
2025-09-04,10:00:00,682.6,12.0
2025-09-04,10:05:00,682.2,11.6
2025-09-04,10:10:00,682.3,11.3
2025-09-04,10:15:00,682.4,11.3
2025-09-04,10:20:00,682.4,11.8
2025-09-04,10:25:00,682.3,11.6
2025-09-04,10:30:00,682.4,11.6
2025-09-04,10:35:00,682.2,11.8
2025-09-04,10:40:00,682.4,11.9
2025-09-04,10:45:00,682.1,12.3
2025-09-04,10:50:00,682.0,11.8
2025-09-04,10:55:00,682.2,11.9
2025-09-04,11:00:00,682.2,11.7
2025-09-04,11:05:00,682.2,11.5
2025-09-04,11:10:00,682.1,11.4
2025-09-04,11:15:00,682.0,11.5
2025-09-04,11:20:00,682.2,11.3
2025-09-04,11:25:00,681.9,11.5
2025-09-04,11:30:00,682.2,11.6
2025-09-04,11:35:00,682.1,11.8
2025-09-04,11:40:00,681.9,12.2
2025-09-04,11:45:00,682.2,11.6
2025-09-04,11:50:00,681.8,11.9
2025-09-04,11:55:00,681.8,12.4
2025-09-04,12:00:00,681.7,12.3
2025-09-04,12:05:00,681.5,12.8
2025-09-04,12:10:00,681.4,12.9
2025-09-04,12:15:00,681.4,13.3
2025-09-04,12:20:00,681.1,13.3
2025-09-04,12:25:00,681.0,13.5
2025-09-04,12:30:00,681.1,13.8
2025-09-04,12:35:00,680.8,14.2
2025-09-04,12:40:00,680.8,14.6
2025-09-04,12:45:00,680.5,15.0
2025-09-04,12:50:00,680.5,15.5
2025-09-04,12:55:00,680.7,15.1
2025-09-04,13:00:00,680.3,14.3
2025-09-04,13:05:00,680.5,14.2
2025-09-04,13:10:00,680.4,13.6
2025-09-04,13:15:00,680.2,13.4
2025-09-04,13:20:00,680.2,13.9
2025-09-04,13:25:00,680.1,14.0
2025-09-04,13:30:00,679.9,14.1
2025-09-04,13:35:00,679.8,14.9
2025-09-04,13:40:00,679.8,14.5
2025-09-04,13:45:00,679.6,15.7
2025-09-04,13:50:00,679.4,15.6
2025-09-04,13:55:00,679.7,15.1
2025-09-04,14:00:00,679.4,16.4
2025-09-04,14:05:00,679.4,16.1
2025-09-04,14:10:00,679.3,15.7
2025-09-04,14:15:00,679.1,16.0
2025-09-04,14:20:00,679.0,15.4
2025-09-04,14:25:00,679.0,15.5
2025-09-04,14:30:00,678.9,14.8
2025-09-04,14:35:00,679.1,15.1
2025-09-04,14:40:00,679.2,12.8
2025-09-04,14:45:00,679.1,12.2
2025-09-04,14:50:00,679.2,13.2
2025-09-04,14:55:00,678.9,13.6
2025-09-04,15:00:00,679.0,15.0
2025-09-04,15:05:00,678.6,15.0
2025-09-04,15:10:00,678.5,14.8
2025-09-04,15:15:00,678.5,15.4
2025-09-04,15:20:00,678.4,15.7
2025-09-04,15:25:00,678.3,15.6
2025-09-04,15:30:00,678.2,16.0
2025-09-04,15:35:00,678.2,15.1
2025-09-04,15:40:00,678.2,16.2
2025-09-04,15:45:00,678.1,15.5
2025-09-04,15:50:00,677.9,15.2
2025-09-04,15:55:00,678.1,15.2
2025-09-04,16:00:00,678.2,15.5
2025-09-04,16:05:00,678.1,15.1
2025-09-04,16:10:00,678.1,14.9
2025-09-04,16:15:00,678.0,15.1
2025-09-04,16:20:00,678.1,15.2
2025-09-04,16:25:00,678.0,15.9
2025-09-04,16:30:00,678.0,15.7
2025-09-04,16:35:00,677.8,16.5
2025-09-04,16:40:00,677.7,16.8
2025-09-04,16:45:00,677.9,18.1
2025-09-04,16:50:00,677.8,17.5
2025-09-04,16:55:00,677.8,16.4
2025-09-04,17:00:00,677.6,16.1
2025-09-04,17:05:00,677.7,16.2
2025-09-04,17:10:00,677.7,16.0
2025-09-04,17:15:00,677.8,16.3
2025-09-04,17:20:00,677.8,15.8
2025-09-04,17:25:00,677.7,15.6
2025-09-04,17:30:00,677.9,15.7
2025-09-04,17:35:00,678.0,15.5
2025-09-04,17:40:00,677.9,14.7
2025-09-04,17:45:00,677.9,14.4
2025-09-04,17:50:00,678.0,14.4
2025-09-04,17:55:00,678.1,14.2
2025-09-04,18:00:00,678.1,14.0
2025-09-04,18:05:00,678.0,13.8
2025-09-04,18:10:00,678.5,13.6
2025-09-04,18:15:00,678.5,13.5
2025-09-04,18:20:00,678.5,13.2
2025-09-04,18:25:00,678.4,13.0
2025-09-04,18:30:00,678.5,12.9
2025-09-04,18:35:00,678.3,12.7
2025-09-04,18:40:00,678.6,12.7
2025-09-04,18:45:00,678.6,12.5
2025-09-04,18:50:00,678.8,12.3
2025-09-04,18:55:00,678.6,12.2
2025-09-04,19:00:00,678.9,12.1
2025-09-04,19:05:00,679.0,12.0
2025-09-04,19:10:00,679.0,11.9
2025-09-04,19:15:00,679.1,12.0
2025-09-04,19:20:00,679.2,11.8
2025-09-04,19:25:00,679.4,11.6
2025-09-04,19:30:00,679.4,11.4
2025-09-04,19:35:00,679.7,11.4
2025-09-04,19:40:00,679.6,11.4
2025-09-04,19:45:00,680.0,11.2
2025-09-04,19:50:00,679.9,11.1
2025-09-04,19:55:00,680.1,11.2
2025-09-04,20:00:00,680.1,11.3
2025-09-04,20:05:00,680.4,11.6
2025-09-04,20:10:00,680.3,11.7
2025-09-04,20:15:00,680.6,11.7
2025-09-04,20:20:00,680.4,11.7
2025-09-04,20:25:00,680.5,11.6
2025-09-04,20:30:00,680.6,11.5
2025-09-04,20:35:00,680.6,11.4
2025-09-04,20:40:00,680.8,11.2
2025-09-04,20:45:00,680.8,11.1
2025-09-04,20:50:00,680.6,11.0
2025-09-04,20:55:00,680.8,10.9
2025-09-04,21:00:00,680.8,10.9
2025-09-04,21:05:00,680.9,10.8
2025-09-04,21:10:00,681.0,10.9
2025-09-04,21:15:00,681.0,10.9
2025-09-04,21:20:00,681.0,10.9
2025-09-04,21:25:00,681.0,10.8
2025-09-04,21:30:00,681.0,10.5
2025-09-04,21:35:00,681.0,10.3
2025-09-04,21:40:00,681.1,10.1
2025-09-04,21:45:00,681.1,9.9
2025-09-04,21:50:00,681.3,9.7
2025-09-04,21:55:00,681.3,9.5
2025-09-04,22:00:00,681.3,9.4
2025-09-04,22:05:00,681.3,9.3
2025-09-04,22:10:00,681.4,9.5
2025-09-04,22:15:00,681.4,9.3
2025-09-04,22:20:00,681.3,9.4
2025-09-04,22:25:00,681.6,9.3
2025-09-04,22:30:00,681.4,9.2
2025-09-04,22:35:00,681.5,9.5
2025-09-04,22:40:00,681.5,9.4
2025-09-04,22:45:00,681.4,9.3
2025-09-04,22:50:00,681.5,8.9
2025-09-04,22:55:00,681.5,8.8
2025-09-04,23:00:00,681.6,8.9
2025-09-04,23:05:00,681.6,8.9
2025-09-04,23:10:00,681.8,9.0
2025-09-04,23:15:00,681.4,8.9
2025-09-04,23:20:00,681.6,8.8
2025-09-04,23:25:00,681.8,8.7
2025-09-04,23:30:00,681.9,8.7
2025-09-04,23:35:00,681.8,8.7
2025-09-04,23:40:00,681.8,8.6
2025-09-04,23:45:00,681.7,8.6
2025-09-04,23:50:00,681.7,8.6
2025-09-04,23:55:00,681.8,8.7
2025-09-05,00:00:00,681.6,8.8
2025-09-05,00:05:00,681.5,8.8
2025-09-05,00:10:00,681.5,8.8
2025-09-05,00:15:00,681.6,8.9
2025-09-05,00:20:00,681.7,8.9
2025-09-05,00:25:00,681.8,8.9
2025-09-05,00:30:00,681.7,9.0
2025-09-05,00:35:00,681.7,9.0
2025-09-05,00:40:00,681.9,8.7
2025-09-05,00:45:00,681.7,8.3
2025-09-05,00:50:00,681.9,7.8
2025-09-05,00:55:00,681.7,7.8
2025-09-05,01:00:00,681.6,7.7
2025-09-05,01:05:00,681.6,7.4
2025-09-05,01:10:00,681.5,7.2
2025-09-05,01:15:00,681.7,7.1
2025-09-05,01:20:00,681.5,7.1
2025-09-05,01:25:00,681.4,7.0
2025-09-05,01:30:00,681.3,7.1
2025-09-05,01:35:00,681.3,7.2
2025-09-05,01:40:00,681.1,7.3
2025-09-05,01:45:00,680.9,7.4
2025-09-05,01:50:00,680.8,7.4
2025-09-05,01:55:00,680.9,7.6
2025-09-05,02:00:00,680.9,7.8
2025-09-05,02:05:00,680.7,8.1
2025-09-05,02:10:00,680.6,8.1
2025-09-05,02:15:00,680.6,7.9
2025-09-05,02:20:00,680.6,8.0
2025-09-05,02:25:00,680.5,8.0
2025-09-05,02:30:00,680.5,7.9
2025-09-05,02:35:00,680.5,7.9
2025-09-05,02:40:00,680.6,7.9
2025-09-05,02:45:00,680.4,7.7
2025-09-05,02:50:00,680.5,7.7
2025-09-05,02:55:00,680.5,7.7
2025-09-05,03:00:00,680.5,7.7
2025-09-05,03:05:00,680.6,7.6
2025-09-05,03:10:00,680.5,7.6
2025-09-05,03:15:00,680.4,7.6
2025-09-05,03:20:00,680.4,7.6
2025-09-05,03:25:00,680.3,7.5
2025-09-05,03:30:00,680.2,7.6
2025-09-05,03:35:00,680.2,7.5
2025-09-05,03:40:00,679.9,7.6
2025-09-05,03:45:00,679.9,7.5
2025-09-05,03:50:00,680.0,7.5
2025-09-05,03:55:00,680.2,7.5
2025-09-05,04:00:00,680.0,7.5
2025-09-05,04:05:00,679.9,7.5
2025-09-05,04:10:00,680.1,7.4
2025-09-05,04:15:00,680.0,7.3
2025-09-05,04:20:00,680.1,7.2
2025-09-05,04:25:00,680.3,7.2
2025-09-05,04:30:00,680.0,7.2
2025-09-05,04:35:00,679.9,7.2
2025-09-05,04:40:00,680.3,7.2
2025-09-05,04:45:00,680.0,7.2
2025-09-05,04:50:00,680.4,7.2
2025-09-05,04:55:00,680.3,7.3
2025-09-05,05:00:00,680.3,7.3
2025-09-05,05:05:00,680.3,7.4
2025-09-05,05:10:00,680.3,7.3
2025-09-05,05:15:00,680.2,7.2
2025-09-05,05:20:00,680.4,7.2
2025-09-05,05:25:00,680.5,7.3
2025-09-05,05:30:00,680.8,7.2
2025-09-05,05:35:00,680.8,7.2
2025-09-05,05:40:00,680.6,7.1
2025-09-05,05:45:00,680.7,7.2
2025-09-05,05:50:00,680.7,7.3
2025-09-05,05:55:00,680.9,7.3
2025-09-05,06:00:00,680.7,7.3
2025-09-05,06:05:00,681.0,7.4
2025-09-05,06:10:00,680.9,7.4
2025-09-05,06:15:00,681.0,7.4
2025-09-05,06:20:00,681.0,7.5
2025-09-05,06:25:00,681.0,7.6
2025-09-05,06:30:00,681.1,7.6
2025-09-05,06:35:00,681.2,7.5
2025-09-05,06:40:00,681.1,7.5
2025-09-05,06:45:00,681.3,7.5
2025-09-05,06:50:00,681.2,7.5
2025-09-05,06:55:00,681.4,7.4
2025-09-05,07:00:00,681.3,7.5
2025-09-05,07:05:00,681.4,7.4
2025-09-05,07:10:00,681.4,7.5
2025-09-05,07:15:00,681.4,7.4
2025-09-05,07:20:00,681.5,7.5
2025-09-05,07:25:00,681.6,7.4
2025-09-05,07:30:00,681.7,7.4
2025-09-05,07:35:00,681.5,7.5
2025-09-05,07:40:00,681.5,7.6
2025-09-05,07:45:00,681.6,7.7
2025-09-05,07:50:00,681.7,8.1
2025-09-05,07:55:00,681.8,8.6
2025-09-05,08:00:00,681.8,8.8
2025-09-05,08:05:00,681.9,10.0
2025-09-05,08:10:00,682.0,10.7
2025-09-05,08:15:00,682.1,11.5
2025-09-05,08:20:00,681.9,11.8
2025-09-05,08:25:00,681.8,12.3
2025-09-05,08:30:00,681.8,12.7
2025-09-05,08:35:00,682.0,11.0
2025-09-05,08:40:00,682.1,10.6
2025-09-05,08:45:00,681.9,11.9
2025-09-05,08:50:00,681.9,11.7
2025-09-05,08:55:00,682.0,11.7
2025-09-05,09:00:00,682.2,12.0
2025-09-05,09:05:00,681.9,11.7
2025-09-05,09:10:00,682.1,12.1
2025-09-05,09:15:00,682.1,13.1
2025-09-05,09:20:00,682.0,11.7
2025-09-05,09:25:00,682.0,11.3
2025-09-05,09:30:00,682.1,10.8
2025-09-05,09:35:00,682.1,10.7
2025-09-05,09:40:00,682.1,11.1
2025-09-05,09:45:00,682.1,12.0
2025-09-05,09:50:00,682.3,11.7
2025-09-05,09:55:00,682.3,11.5
2025-09-05,10:00:00,682.2,11.7
2025-09-05,10:05:00,682.3,11.7
2025-09-05,10:10:00,682.3,12.1
2025-09-05,10:15:00,682.1,12.1
2025-09-05,10:20:00,682.2,11.5
2025-09-05,10:25:00,682.3,11.5
2025-09-05,10:30:00,682.2,11.5
2025-09-05,10:35:00,682.2,11.2
2025-09-05,10:40:00,682.2,11.5
2025-09-05,10:45:00,682.0,12.0
2025-09-05,10:50:00,682.0,11.6
2025-09-05,10:55:00,681.9,12.0
2025-09-05,11:00:00,681.9,12.1
2025-09-05,11:05:00,681.8,12.3
2025-09-05,11:10:00,681.7,12.6
2025-09-05,11:15:00,681.8,12.5
2025-09-05,11:20:00,681.7,12.8
2025-09-05,11:25:00,681.6,12.3
2025-09-05,11:30:00,681.6,12.7
2025-09-05,11:35:00,681.6,12.5
2025-09-05,11:40:00,681.4,12.9
2025-09-05,11:45:00,681.6,13.1
2025-09-05,11:50:00,681.3,13.0
2025-09-05,11:55:00,681.3,12.8
2025-09-05,12:00:00,681.4,12.8
2025-09-05,12:05:00,681.2,13.1
2025-09-05,12:10:00,681.3,13.0
2025-09-05,12:15:00,681.2,13.4
2025-09-05,12:20:00,681.3,13.1
2025-09-05,12:25:00,681.3,13.0
2025-09-05,12:30:00,681.1,12.8
2025-09-05,12:35:00,681.1,12.8
2025-09-05,12:40:00,681.0,13.0
2025-09-05,12:45:00,680.9,13.6
2025-09-05,12:50:00,680.8,13.9
2025-09-05,12:55:00,680.7,14.0
2025-09-05,13:00:00,680.5,14.2
2025-09-05,13:05:00,680.5,13.8
2025-09-05,13:10:00,680.4,13.4
2025-09-05,13:15:00,680.4,13.2
2025-09-05,13:20:00,680.4,13.9
2025-09-05,13:25:00,680.4,14.3
2025-09-05,13:30:00,680.4,14.4
2025-09-05,13:35:00,680.4,13.7
2025-09-05,13:40:00,680.3,14.5
2025-09-05,13:45:00,680.2,14.3
2025-09-05,13:50:00,680.0,14.3
2025-09-05,13:55:00,680.2,13.2
2025-09-05,14:00:00,679.9,13.1
2025-09-05,14:05:00,679.8,13.4
2025-09-05,14:10:00,680.0,13.6
2025-09-05,14:15:00,679.8,12.7
2025-09-05,14:20:00,679.8,12.6
2025-09-05,14:25:00,679.9,12.8
2025-09-05,14:30:00,679.9,13.0
2025-09-05,14:35:00,679.7,13.2
2025-09-05,14:40:00,679.4,13.1
2025-09-05,14:45:00,679.3,12.8
2025-09-05,14:50:00,679.1,13.2
2025-09-05,14:55:00,679.0,13.8
2025-09-05,15:00:00,679.0,13.6
2025-09-05,15:05:00,679.2,13.3
2025-09-05,15:10:00,679.1,13.8
2025-09-05,15:15:00,679.1,13.5
2025-09-05,15:20:00,679.1,13.2
2025-09-05,15:25:00,679.2,13.2
2025-09-05,15:30:00,679.1,12.0
2025-09-05,15:35:00,679.2,11.3
2025-09-05,15:40:00,679.1,11.1
2025-09-05,15:45:00,679.0,12.1
2025-09-05,15:50:00,678.8,13.1
2025-09-05,15:55:00,678.7,13.7
2025-09-05,16:00:00,678.7,13.9
2025-09-05,16:05:00,678.7,13.1
2025-09-05,16:10:00,678.7,12.8
2025-09-05,16:15:00,678.6,13.6
2025-09-05,16:20:00,678.6,13.9
2025-09-05,16:25:00,678.4,13.1
2025-09-05,16:30:00,678.4,13.3
2025-09-05,16:35:00,678.4,13.1
2025-09-05,16:40:00,678.3,13.1
2025-09-05,16:45:00,678.4,13.3
2025-09-05,16:50:00,678.2,14.6
2025-09-05,16:55:00,678.3,14.0
2025-09-05,17:00:00,678.3,13.8
2025-09-05,17:05:00,678.4,13.9
2025-09-05,17:10:00,678.4,15.2
2025-09-05,17:15:00,678.3,15.3
2025-09-05,17:20:00,678.2,14.3
2025-09-05,17:25:00,678.4,14.6
2025-09-05,17:30:00,678.3,14.9
2025-09-05,17:35:00,678.3,14.4
2025-09-05,17:40:00,678.4,14.0
2025-09-05,17:45:00,678.4,14.3
2025-09-05,17:50:00,678.4,14.0
2025-09-05,17:55:00,678.5,13.1
2025-09-05,18:00:00,678.7,12.7
2025-09-05,18:05:00,678.7,12.4
2025-09-05,18:10:00,678.5,12.2
2025-09-05,18:15:00,678.7,12.1
2025-09-05,18:20:00,678.7,12.1
2025-09-05,18:25:00,678.6,11.9
2025-09-05,18:30:00,678.6,11.7
2025-09-05,18:35:00,678.7,11.6
2025-09-05,18:40:00,678.9,11.3
2025-09-05,18:45:00,679.0,11.1
2025-09-05,18:50:00,679.1,10.8
2025-09-05,18:55:00,678.9,10.7
2025-09-05,19:00:00,679.0,10.4
2025-09-05,19:05:00,679.2,10.4
2025-09-05,19:10:00,679.1,10.2
2025-09-05,19:15:00,679.4,10.0
2025-09-05,19:20:00,679.4,9.8
2025-09-05,19:25:00,679.5,9.7
2025-09-05,19:30:00,679.5,9.5
2025-09-05,19:35:00,679.8,9.4
2025-09-05,19:40:00,679.7,9.3
2025-09-05,19:45:00,679.8,9.2
2025-09-05,19:50:00,679.9,9.2
2025-09-05,19:55:00,680.3,9.2
2025-09-05,20:00:00,680.3,9.1
2025-09-05,20:05:00,680.3,9.2
2025-09-05,20:10:00,680.4,9.1
2025-09-05,20:15:00,680.3,9.1
2025-09-05,20:20:00,680.3,9.2
